<size\=24>对不住，四师兄，我们打你，是为你好。</size>	<size\=24>ขออภัยด้วยเถิด พี่สี่ ที่พวกเราทำร้ายท่าน ก็เพื่อประโยชน์ของท่านเองเจ้าค่ะ</size>
<size\=24>对耶！</size>	<size\=24>ใช่แล้วนี่!</size>
<size\=24>对，多得师弟你提醒，还用上了传音入密的内功。</size>	<size\=24>ใช่ ต้องขอบใจศิษย์น้องที่เตือน ถึงได้ใช้วิชากำลังภายในส่งเสียงเข้าหูลับนี้ขึ้นมาขอรับ</size>
<size\=24>对，贫道便是混世魔王座下童子，你别大声嚷嚷给我添乱。</size><size\=24>段公子登场在即，此刻你便当着他的面跑，他也追不了你，要跑快跑！</size>	<size\=24>ใช่ อาตมาคือเด็กรับใช้ใต้บัลลังก์มารราชาป่วนโลก เจ้าอย่าตะโกนโหวกเหวกสร้างความวุ่นวายให้อาตมาเลย</size><size\=24>คุณชายตวนกำลังจะปรากฏตัวในไม่ช้า ตอนนี้เจ้าวิ่งต่อหน้าเขาไปเลย เขาก็ไล่เจ้าไม่ทันหรอก จะวิ่งก็รีบวิ่งไปเถิด!</size>
<size\=24>小、小师妹，你，你听这位少侠所言，意下如何？</size><size\=24>呼哧……呼哧……我看是不太妥。</size>	<size\=24>ศิ...ศิษย์น้องคนเล็ก เจ้า...เจ้าได้ยินคำพูดของท่านยุวชนยอดฝีมือผู้นี้แล้ว เห็นเป็นเช่นไร?</size><size\=24>หอบ...หอบ...ข้าน้อยเห็นว่าไม่ค่อยเหมาะสมนัก</size>
<size\=24>小女子来日相夫，必助夫君成材。</size>	<size\=24>วันหน้าเมื่อข้าได้เป็นภรรยาคอยช่วยเหลือท่านสามี ข้าจะช่วยให้ท่านเป็นผู้มีความสามารถให้จงได้เจ้าค่ะ</size>
<size\=24>小妹自然肯的。</size>	<size\=24>ข้าเต็มใจอยู่แล้วเจ้าค่ะ</size>
<size\=24>小师妹在向我招手，真可爱。</size>	<size\=24>ศิษย์น้องคนเล็กกำลังโบกมือเรียกข้าน้อยอยู่ น่ารักจริงๆ</size>
<size\=24>小师妹，你看这人如何？</size>	<size\=24>ศิษย์น้องคนเล็ก เจ้าเห็นผู้นี้เป็นเช่นไร?</size>
<size\=24>小师妹，大公子从小浸淫书香，身怀大义，</size><size\=24>曾领袖群侠抵抗魔教侵攻，这才学、品德、功绩都没话说。</size><size\=24>我再考他，也无甚意义，但要不问，又好像不大公平。</size>	<size\=24>ศิษย์น้องคนเล็ก คุณชายคนโตหมกมุ่นกับการศึกษาเล่าเรียนมาแต่เด็ก ทั้งยังมีคุณธรรมอันยิ่งใหญ่อยู่ในตัว</size><size\=24>เขาเคยเป็นผู้นำเหล่าจอมยุทธ์ต้านทานการรุกรานของลัทธิมาร ทั้งความรู้ คุณธรรม และผลงาน ล้วนไม่มีที่ติ</size><size\=24>ต่อให้ข้าน้อยทดสอบเขาต่อไปก็ไม่มีความหมายอันใด แต่หากไม่ถามเลย ก็ดูจะไม่ยุติธรรมนัก</size>
<size\=24>小师妹，我看名册，大公子就是最后一位压轴了。</size><size\=24>他文武全才，琴棋书画四艺皆通，家财万贯，可能没有更好的了。</size><size\=24>你再这样心不在焉，就没人啦。</size>	<size\=24>ศิษย์น้องคนเล็ก ข้าน้อยดูในทำเนียบรายชื่อแล้ว คุณชายคนโตเป็นคนสุดท้ายซึ่งถือเป็นไม้เด็ดเลยทีเดียว</size><size\=24>เขาเพียบพร้อมทั้งบุ๋นและบู๊ ทั้งดนตรี หมากรุก อักษรศิลป์ และภาพวาด สี่ศิลปะล้วนเชี่ยวชาญ ทั้งทรัพย์สินก็มากมายมหาศาล คงยากจะหาใครดีไปกว่านี้อีกแล้ว</size><size\=24>หากเจ้ายังใจลอยเช่นนี้ต่อไป ก็จะไม่มีใครเหลือให้เลือกแล้วนะ</size>
<size\=24>小师妹，这位大侠可来头不小。他和大师兄齐名，互许为毕生劲敌。</size><size\=24>曾经和崆峒夏侯女侠三人一同游历，力挫旧魔教左护法的野心。</size><size\=24>是当世难得的英雄人物。</size>	<size\=24>ศิษย์น้องคนเล็ก ท่านจอมยุทธ์ผู้นี้มีที่มาไม่ธรรมดาเลย เขามีชื่อเสียงทัดเทียมกับพี่ใหญ่ ทั้งสองต่างยอมรับกันเป็นคู่ปรับตลอดชีวิต</size><size\=24>เขาเคยร่วมท่องยุทธจักรกับจอมยุทธ์หญิงเซี่ยโหวแห่งคงถง รวมสามคน ร่วมกันหักล้างความทะเยอทะยานของผู้พิทักษ์ซ้ายแห่งลัทธิมารเดิมได้สำเร็จ</size><size\=24>เป็นวีรบุรุษที่หาได้ยากยิ่งในยุคนี้</size>
<size\=24>小点声，没看到正在议事吗？</size><size\=24>别大惊小怪，我们都知道了。</size>	<size\=24>เบาเสียงหน่อย ไม่เห็นหรือว่ากำลังประชุมปรึกษากันอยู่?</size><size\=24>อย่าตื่นตูมไปเลย พวกเราทุกคนรู้กันหมดแล้ว</size>
<size\=24>小竹要的是认同与肯定，你随便给点当红包就好。</size>	<size\=24>สิ่งที่เสี่ยวจู๋ต้องการคือการยอมรับและคำชม เจ้าแค่ให้ซองแดงสักหน่อยก็พอแล้ว</size>
<size\=24>少臭美，她分明是向我招手。</size>	<size\=24>อย่ามาหลงตัวเองไปหน่อยเลย นางโบกมือเรียกข้าน้อยชัดๆ</size>
<size\=24>就……「那个」啊，那个！</size>	<size\=24>ก็...「เรื่องนั้น」น่ะ เรื่องนั้นแหละ!</size>
<size\=24>就你这癞蛤蟆还想吃天鹅肉，不如去吃屎吧。</size><size\=24>小师妹能看上你？她若看上你，我就钓竿塞幽门钓鱼给你看。</size>	<size\=24>แค่เจ้าคางคกขี้เหร่ยังอยากกินเนื้อหงส์ สู้ไปกินขี้เสียยังจะดีกว่า</size><size\=24>ศิษย์น้องคนเล็กจะมาชอบเจ้าได้ยังไง? ถ้านางชอบเจ้าจริง ข้าน้อยยอมเอาคันเบ็ดยัดก้นตกปลาให้เจ้าดูเลย</size>
<size\=24>岂有此理，我、我才不是怕你，是我修身养性，不跟你这邪魔歪道一般见识。</size><size\=24>有胆你就杀上青城，拼个你死我活啊！</size>	<size\=24>ไม่มีเหตุผลเช่นนี้! ข้า...ข้าไม่ได้กลัวเจ้าหรอก เพียงแต่ข้าน้อยกำลังบำเพ็ญตนขัดเกลาจิตใจ ไม่อยากลดตัวลงไปถือสากับพวกมารร้ายอย่างเจ้า</size><size\=24>หากมีความกล้าก็บุกขึ้นชิงเฉิงมาสิ สู้กันจนตายไปข้างหนึ่งเลย!</size>
<size\=24>崆峒不能轻易招惹，你说话谨慎。</size>	<size\=24>คงถงนั้นไม่อาจยั่วยุได้ง่ายๆ เจ้าจงพูดจาให้รอบคอบ</size>
<size\=24>已经，已经要作你老婆了啊……？</size>	<size\=24>จะ...จะได้เป็นภรรยาของท่านแล้วหรือเจ้า...?</size>
<size\=24>师兄一看见美貌姑娘就这么客气！</size>	<size\=24>พอพี่ศิษย์เห็นสาวสวยเท่านั้นแหละ ก็สุภาพขนาดนี้เชียว!</size>
<size\=24>师兄他怪怪的，快去把李大夫请回来。</size>	<size\=24>พี่ศิษย์ท่านดูแปลกๆ ไป รีบไปตามหมอหลี่กลับมาเร็ว</size>
<size\=24>师兄你难道就耐心很好吗，整天就只知道批评别人，不懂内自省。</size>	<size\=24>พี่ศิษย์ ท่านมีความอดทนดีนักหรือ วันๆ เอาแต่รู้จักตำหนิผู้อื่น ไม่รู้จักสำรวจตนเองเลยสักนิด</size>
<size\=24>师兄弟们，我们先退远点。</size>	<size\=24>พี่น้องร่วมสำนักทั้งหลาย พวกเราถอยห่างออกไปก่อนเถิด</size>
<size\=24>师兄我也觉得，这位少侠方才答非所问，才学有限，</size><size\=24>武功还未可知，却还差点儿骨气。</size>	<size\=24>พี่ศิษย์ ข้าน้อยก็รู้สึกเช่นกันว่า ท่านยุวชนยอดฝีมือผู้นี้เมื่อครู่ตอบคำถามไม่ตรงประเด็น สติปัญญาก็มีจำกัด</size><size\=24>วิทยายุทธ์ก็ยังไม่อาจหยั่งรู้ได้ แต่ยังดูจะขาดความองอาจกล้าหาญไปเสียหน่อย</size>
<size\=24>师兄，你干嘛刺激他们？</size>	<size\=24>พี่ศิษย์ ท่านยั่วยุพวกเขาไปทำไม?</size>
<size\=24>师兄，修养，道心。</size>	<size\=24>พี่ศิษย์ จงสำรวมจิตใจ รักษาดวงจิตแห่งมรรคาไว้</size>
<size\=24>师兄，还有好多人在看，小师妹的选婿的事比较重要，别跟他一般见识。</size>	<size\=24>พี่ศิษย์ ยังมีคนดูอยู่มากมาย เรื่องการเลือกคู่ครองของศิษย์น้องคนเล็กสำคัญกว่า อย่าไปถือสากับเขาเลย</size>
<size\=24>师姐，师父猛盯着南宫世家看，眼里如欲冒出火来。</size>	<size\=24>พี่ศิษย์หญิง อาจารย์จ้องมองตระกูลหนานกงอย่างไม่ละสายตา ดวงตาราวกับจะพ่นไฟออกมา</size>
<size\=24>师弟，你先将机巧飞蝗收起来。</size>	<size\=24>ศิษย์น้องชาย เจ้าเก็บกลไกตั๊กแตนบินนั่นเข้าไปก่อนเถิด</size>
<size\=24>师弟，你可得多照看着点小师妹。</size><size\=24>据我所知，她的天地无声势内息是随时都在流转，与心息息相关。</size><size\=24>千万别乱了心，否则于她有害亦未可知。</size>	<size\=24>ศิษย์น้องชาย เจ้าต้องดูแลศิษย์น้องคนเล็กให้มากขึ้นหน่อย</size><size\=24>เท่าที่ข้าน้อยทราบ ลมปราณกระแสไร้เสียงแห่งฟ้าดินของนางไหลเวียนอยู่ตลอดเวลา และเชื่อมโยงกับจิตใจของนางอย่างแนบแน่น</size><size\=24>อย่าให้จิตใจนางว้าวุ่นเป็นอันขาด มิเช่นนั้นอาจเป็นอันตรายต่อนางโดยไม่รู้ตัวก็เป็นได้</size>
<size\=24>师弟，你想说啥？别乱来呀。</size>	<size\=24>ศิษย์น้องชาย เจ้าอยากพูดอะไร? อย่าทำเรื่องเลอะเทอะนะ</size>
<size\=24>师弟，你来一下。</size>	<size\=24>ศิษย์น้องชาย มาทางนี้หน่อย</size>
<size\=24>师弟，你果真不认识此人？</size>	<size\=24>ศิษย์น้องชาย เจ้าไม่รู้จักผู้นี้จริงๆ หรือ?</size>
<size\=24>师弟，你说呢？</size><size\=24>你替我拿主意，我来承担便是。</size>	<size\=24>ศิษย์น้องชาย เจ้าว่าอย่างไร?</size><size\=24>เจ้าช่วยตัดสินใจแทนข้าน้อยเถิด ข้าน้อยจะรับผิดชอบเอง</size>
<size\=24>师弟，切莫轻举妄动！</size>	<size\=24>ศิษย์น้องชาย อย่าได้กระทำการโดยไม่ยั้งคิดเป็นอันขาด!</size>
<size\=24>师弟，别冲动，他就是想激我们杀他。</size>	<size\=24>ศิษย์น้องชาย อย่าใจร้อนไป เขาแค่อยากยั่วให้พวกเราฆ่าเขาเท่านั้น</size>
<size\=24>师弟，多亏你心细如尘。</size><size\=24>君子敬而无失，与人恭而有礼，四海之内皆兄弟也。</size>	<size\=24>ศิษย์น้องชาย ต้องขอบใจที่เจ้าช่างสังเกตละเอียดถี่ถ้วนยิ่งนัก</size><size\=24>บัณฑิตผู้มีคุณธรรมย่อมสำรวมระวังไม่ผิดพลาด ปฏิบัติต่อผู้อื่นด้วยความนอบน้อมและมารยาทอันงาม ดังนั้นคนทั่วใต้ฟ้าจึงเป็นดั่งพี่น้องกันทั้งสิ้น</size>
<size\=24>师弟，师弟，这位姑娘好猛，巾帼不让须眉。</size>	<size\=24>ศิษย์น้องชาย ศิษย์น้องชาย หญิงสาวผู้นี้แกร่งกล้านัก สมกับคำที่ว่าสตรีก็ไม่ยิ่งหย่อนไปกว่าบุรุษเลย</size>
<size\=24>师弟，怎办？石帮主这根本不是想商量事情，只是想撒气而已吧。</size>	<size\=24>ศิษย์น้องชาย จะทำอย่างไรดี? ท่านเจ้าพรรคสือนี่ไม่ได้อยากปรึกษาเรื่องอะไรเลย เอาแต่อยากระบายอารมณ์เท่านั้นกระมัง</size>
<size\=24>师弟，我们甭管他们家事，走吧。</size>	<size\=24>ศิษย์น้องชาย พวกเราอย่าไปยุ่งเรื่องภายในครอบครัวของพวกเขาเลย ไปกันเถิด</size>
<size\=24>师弟，我提醒你一句。你可得上心点，别在师弟妹的面前胜了三师兄。他如今是代掌门，你若胜他，难免师弟妹们的信心不会动摇。</size>	<size\=24>ศิษย์น้องชาย ข้าน้อยขอเตือนเจ้าสักคำ เจ้าต้องระวังให้ดี อย่าเอาชนะพี่สามต่อหน้าเหล่าศิษย์รุ่นน้องเป็นอันขาด ยามนี้เขาเป็นผู้รักษาการตำแหน่งเจ้าสำนัก หากเจ้าเอาชนะเขา ย่อมยากที่ความเชื่อมั่นของเหล่าศิษย์รุ่นน้องจะไม่สั่นคลอน</size>
<size\=24>师弟，掌门虽不动声色，只怕情况不容乐观。</size><size\=24>我已托四师弟去寻二师兄下落，请你在堂中伺候。</size>	<size\=24>ศิษย์น้องชาย แม้ท่านเจ้าสำนักจะไม่แสดงสีหน้าใดๆ ออกมา แต่ข้าน้อยเกรงว่าสถานการณ์คงไม่สู้ดีนัก</size><size\=24>ข้าน้อยได้ฝากศิษย์น้องชายลำดับที่สี่ไปสืบหาที่อยู่ของพี่รองแล้ว ขอให้เจ้าคอยรับใช้อยู่ในหอเถิด</size>
<size\=24>师弟，掌门都发话了，你还不把握机会表现。</size>	<size\=24>ศิษย์น้องชาย ท่านเจ้าสำนักเอ่ยปากแล้ว เจ้ายังไม่รีบคว้าโอกาสแสดงฝีมืออีกหรือ</size>
<size\=24>师弟，请你设法尽速将叶少侠请回来。</size><size\=24>她已经没时间了。</size>	<size\=24>ศิษย์น้องชาย ขอให้เจ้าหาทางเชิญท่านยุวชนยอดฝีมือตระกูลเย่กลับมาโดยเร็วที่สุดเจ้าค่ะ</size><size\=24>นางไม่มีเวลาเหลือแล้วเจ้าค่ะ</size>
<size\=24>师弟，这等丑事，不宜外扬。</size><size\=24>打发走外人，再来细究。</size>	<size\=24>ศิษย์น้องชาย เรื่องอัปยศเช่นนี้ ไม่สมควรแพร่งพรายออกไปภายนอก</size><size\=24>ไล่คนนอกออกไปก่อน แล้วค่อยมาสืบสวนอย่างละเอียดกันทีหลัง</size>
<size\=24>师父，俺……我是女子。</size>	<size\=24>ท่านอาจารย์ ข้า...ข้าน้อยเป็นสตรีขอรับ</size>
<size\=24>帮主，你不妨现场令他们吞服丹药，若是毒药，他们想必不敢。</size>	<size\=24>ท่านเจ้าพรรค ไม่ลองให้พวกเขากลืนตันยาต่อหน้าตรงนี้เลยหรือขอรับ หากเป็นยาพิษ พวกเขาคงไม่กล้าแน่</size>
<size\=24>帮主，你怎不照稿念？说这什么不伦不类的话！</size>	<size\=24>ท่านเจ้าพรรค เหตุใดท่านไม่อ่านตามบทที่เตรียมไว้? พูดอะไรออกมาไม่เข้าท่าเข้าทางเช่นนี้!</size>
<size\=24>弟子，你上树来。</size>	<size\=24>ศิษย์เอ๋ย ขึ้นมาบนต้นไม้นี้</size>
<size\=24>弟子，你探头探脑，是在找为师吗？</size>	<size\=24>ศิษย์เอ๋ย เจ้าโผล่หัวส่ายหน้าอยู่นั่น กำลังหาตัวอาจารย์อยู่หรือ?</size>
<size\=24>弟，我生性如此，有许多话羞于启齿。</size><size\=24>情意满塞于胸，想让你知晓，却不善言词。</size>	<size\=24>น้อง ข้าเป็นเช่นนี้มาแต่กำเนิด มีหลายสิ่งที่อายจะเอ่ยปากบอก</size><size\=24>ความรู้สึกเต็มตื้นอยู่ในอก อยากให้เจ้าได้รู้ แต่ข้าก็ไม่ถนัดในถ้อยคำ</size>
<size\=24>弟，这位前辈是谁呀，我不认识。</size>	<size\=24>น้อง ท่านรุ่นพี่ผู้นี้เป็นใครกัน ข้าไม่รู้จักเลย</size>
<size\=24>当然记得，虽是空屋，但为了迟早能够租住出去，</size><size\=24>我还不时会去打扫。</size>	<size\=24>จำได้แน่นอน แม้จะเป็นบ้านร้าง แต่เผื่อว่าสักวันจะปล่อยเช่าได้</size><size\=24>ข้าน้อยก็ยังแวะไปทำความสะอาดอยู่เป็นระยะ</size>
<size\=24>当然附和人数众多的一边。</size>	<size\=24>ก็ต้องเข้าข้างฝ่ายที่มีคนเยอะกว่าอยู่แล้วสิขอรับ</size>
<size\=24>很好。相隔太远，最多就能发出这种程度的响声。</size><size\=24>你屏气凝神，自然就听得真切了。</size>	<size\=24>ดีมาก เมื่อระยะห่างกันไกลเกินไป เสียงดังที่สุดที่เจ้าทำได้ก็เพียงเท่านี้</size><size\=24>เจ้ากลั้นลมหายใจ รวมสมาธิให้แน่วแน่ ก็จะได้ยินได้ชัดเจนขึ้นเอง</size>
<size\=24>心软放他走，恐怕一样后患无穷。</size><size\=24>何况不杀了他，实在难解心头之恨，更难服众！</size>	<size\=24>หากใจอ่อนปล่อยเขาไป เกรงว่าจะเกิดภัยไม่รู้จบเช่นเดิม</size><size\=24>ยิ่งไปกว่านั้น หากไม่ฆ่าเขาเสีย ก็ยากจะระงับความแค้นในใจ ทั้งยังยากจะทำให้ผู้คนยอมรับได้ด้วย!</size>
<size\=24>快少说几句吧你，是多怕别人不知道你这大老粗没见识！</size>	<size\=24>เจ้าจงพูดให้น้อยลงหน่อยเถิด กลัวคนอื่นไม่รู้ว่าเจ้าเป็นคนหยาบไร้การศึกษาขนาดนี้นักหรือไร!</size>
<size\=24>快还他，快还他，我可没碰喔，是你抢的喔。</size>	<size\=24>รีบคืนให้เขาเร็ว รีบคืนให้เขาเร็ว ข้าน้อยไม่ได้แตะต้องเลยนะ เจ้าต่างหากที่แย่งมา</size>
<size\=24>怎么办？他该不会真有两把刷子吧。</size>	<size\=24>จะทำอย่างไรดี? เขาคงไม่ได้มีฝีมือจริงๆ หรอกนะ</size>
<size\=24>怎么办？这丑八怪看着不像是恶人。</size><size\=24>无缘无故，总不能因为他挡路就宰了吧。</size>	<size\=24>จะทำอย่างไรดี? เจ้าตัวประหลาดหน้าตาอัปลักษณ์นี่ดูไม่เหมือนคนเลวเลย</size><size\=24>ไม่มีเหตุผลอันใดเลย จะให้ฆ่าเขาทิ้งเพียงเพราะขวางทางคงไม่ได้กระมัง</size>
<size\=24>怎办？他不上当。</size>	<size\=24>จะทำอย่างไรดี? เขาไม่ติดกับเลย</size>
<size\=24>总之不是你想的那样。</size>	<size\=24>ยังไงก็ตาม มันไม่ใช่อย่างที่เจ้าคิดหรอก</size>
<size\=24>想不到唐门那群乖僻的怪人之中，也有通情达理的。</size><size\=24>这赵老弟模样虽然丑恶，为人处世倒还过得去。</size>	<size\=24>ไม่คาดคิดว่าในหมู่พวกประหลาดสันดานพิลึกแห่งสำนักถัง จะมีผู้ที่เข้าใจเหตุผลอยู่ด้วย</size><size\=24>เจ้าน้องจ้าวคนนี้ แม้รูปโฉมจะน่าเกลียดน่ากลัว แต่การวางตัวต่อผู้คนกลับพอใช้ได้อยู่</size>
<size\=24>我……小、小女子独自练了很久的曲，满载我拙于表述的心迹。</size><size\=24>想学我师父，借丝竹代语，聊诉衷肠，请公子清听，成吗？</size>	<size\=24>ข้า...ข้าฝึกซ้อมเพลงนี้อยู่ลำพังมานานแล้ว เต็มไปด้วยความในใจที่ข้าไม่ถนัดจะเอ่ยเป็นคำพูด</size><size\=24>ข้าใคร่จะเลียนแบบอาจารย์ของข้า ใช้เสียงพิณแทนคำพูด ระบายความในใจสักหน่อย ขอคุณชายตั้งใจฟังสักครู่ ได้หรือไม่เจ้า?</size>
<size\=24>我、我没事，你别大庭广众搭着我呀，离我远点。</size>	<size\=24>ข้า...ข้าไม่เป็นไร เจ้าอย่ามาแตะตัวข้าต่อหน้าธารกำนัลเช่นนี้ ออกห่างจากข้าหน่อย</size>
<size\=24>我、我紧张嘛！</size>	<size\=24>ข้า...ข้าน้อยตื่นเต้นนี่นา!</size>
<size\=24>我也不知道。</size>	<size\=24>ข้าน้อยก็ไม่รู้เหมือนกัน</size>
<size\=24>我也不认识啊，你刚不是还「莫非」吗？</size>	<size\=24>ข้าน้อยก็ไม่รู้จักเหมือนกัน เมื่อครู่เจ้าไม่ใช่ยังพูดว่า「หรือว่าจะ...」อยู่หรอกหรือ?</size>
<size\=24>我也是第一次看他发这么火，</size><size\=24>我以为他都只会嘴上说说而已。</size>	<size\=24>ข้าน้อยก็เพิ่งเคยเห็นเขาโมโหขนาดนี้เป็นครั้งแรกเหมือนกัน</size><size\=24>ข้าน้อยนึกว่าเขาเอาแต่พูดปากเปล่าเท่านั้นเสียอีก</size>
<size\=24>我也觉得他说不定真在哪处青楼，但你这么老实干嘛？</size><size\=24>这不让对头都放宽了心吗？</size>	<size\=24>ข้าน้อยก็คิดเหมือนกันว่าเขาอาจจะอยู่ที่ซ่องโสเภณีจริงๆ ก็ได้ แต่เจ้าจะซื่อขนาดนี้ทำไม?</size><size\=24>นี่ไม่เท่ากับปล่อยให้ฝ่ายศัตรูวางใจไปหรอกหรือ?</size>
<size\=24>我以为唐门式微，天下再也没人认得我们的制服了！</size>	<size\=24>ข้าน้อยนึกว่าสำนักถังเสื่อมถอยจนไม่มีใครในใต้หล้าจดจำเครื่องแบบของพวกเราได้อีกแล้วเสียอีก!</size>
<size\=24>我以性命担保，半点不认识。</size>	<size\=24>ข้าน้อยขอเอาชีวิตเป็นประกัน ไม่รู้จักแม้แต่น้อย</size>
<size\=24>我先去布置一下，你等没人关注时，再来寻我。</size><size\=24>裳儿想在那里，告诉你从来无人知晓的秘密。</size>	<size\=24>ข้าจะไปจัดแจงเตรียมการก่อน เจ้ารอจนไม่มีใครสนใจแล้วค่อยมาหาข้า</size><size\=24>ฉางเอ๋อร์อยากจะบอกเจ้าที่ตรงนั้น ถึงความลับที่ไม่เคยมีใครล่วงรู้มาก่อน</size>
<size\=24>我其实……我其实很倾慕你，心悦于你。</size><size\=24>能够以你的夫人自居，每日清醒都有不胜之喜。</size><size\=24>想要和你执手白头，老来含饴弄孙。</size>	<size\=24>ข้าที่จริง...ข้าที่จริงชื่นชมท่านยิ่งนัก ดวงใจก็โน้มเอียงไปทางท่านเจ้าค่ะ</size><size\=24>หากได้เป็นภรรยาของท่าน ทุกเช้าที่ตื่นขึ้นมาข้าคงมีความสุขล้นเหลือเจ้าค่ะ</size><size\=24>ข้าอยากจับมือท่านไปจนแก่เฒ่าผมขาว ครั้นยามชราก็ได้เอ็นดูเลี้ยงหลานให้ชื่นใจ</size>
<size\=24>我凭着家父、祖父的余荫，才能勉强稳住武林盟的人马。</size><size\=24>你当真不领情吗。</size>	<size\=24>ข้าน้อยอาศัยบุญบารมีที่หลงเหลือจากบิดาและปู่ จึงพอจะประคับประคองกำลังพลของพันธมิตรยุทธจักรไว้ได้อย่างฝืดเคือง</size><size\=24>เจ้าไม่รู้สึกซาบซึ้งในบุญคุณนี้เลยจริงๆ หรือ</size>
<size\=24>我区区一个外姓弟子，可出不了什么高明主意。</size>	<size\=24>ข้าน้อยเป็นเพียงศิษย์นอกตระกูลผู้ต่ำต้อย คงคิดอุบายเลิศเลอใดๆ ไม่ออกหรอกขอรับ</size>
<size\=24>我可没说那是绍兴，他自己装懂，我顺着他的话说罢了。</size><size\=24>有钱不赚，傻子吗？</size>	<size\=24>ข้าไม่เคยบอกว่านั่นคือเหล้าเส้าซิงเลยสักคำ เขาต่างหากที่แสร้งทำเป็นเข้าใจไปเอง ข้าก็แค่พูดคล้อยตามเขาไปเท่านั้น</size><size\=24>มีเงินแล้วไม่รับ จะให้เป็นคนโง่หรือไร?</size>
<size\=24>我吓吓他们而已，你怎么猖狂到这种地步，连我都怕。</size>	<size\=24>ข้าน้อยแค่ขู่พวกเขาเล่นๆ เท่านั้น เจ้ากำเริบเสิบสานถึงเพียงนี้ได้อย่างไร แม้แต่ข้าน้อยยังหวาดกลัวเลย</size>
<size\=24>我哥哥到底算是少侠还是大侠。</size>	<size\=24>พี่ชายของข้าสรุปแล้วนับเป็นยุวชนยอดฝีมือ หรือท่านจอมยุทธ์กันแน่นะ</size>
<size\=24>我哪知道他真的在附近，还对号入座！</size>	<size\=24>ข้าน้อยจะไปรู้ได้อย่างไรว่าเขาอยู่แถวนี้จริงๆ แถมยังคิดเอาเองว่าพูดถึงตัวเขาอีก!</size>
<size\=24>我哪知道那些东西怎么用，茶不就是茶叶丢热水里就泡好了吗？</size><size\=24>话说你不是号称要看着我泡吗？我泡的时候你又不出声。</size>	<size\=24>ข้าน้อยจะไปรู้ได้อย่างไรว่าของพวกนั้นใช้ยังไง ชาก็แค่เอาใบชาโยนลงน้ำร้อนก็ชงเสร็จแล้วไม่ใช่หรือ?</size><size\=24>ว่าแต่เจ้าไม่ใช่หรือที่บอกว่าจะคอยดูข้าน้อยชงชา? พอข้าน้อยชงอยู่ เจ้าก็ไม่ปริปากสักคำ</size>
<size\=24>我师父内功深湛，耳朵可灵了。</size>	<size\=24>อาจารย์ของข้าน้อยวิชากำลังภายในลึกล้ำนัก หูของท่านไวเหลือเกิน</size>
<size\=24>我才没有愿意买……你卖的恁贵。</size><size\=24>要不是你拳头大，我哪里会就范。</size>	<size\=24>ข้าน้อยไม่เคยเต็มใจจะซื้อเลยสักนิด...เจ้าขายแพงจนเกินไป</size><size\=24>ถ้าไม่ใช่เพราะกำปั้นเจ้าใหญ่โต ข้าน้อยจะยอมทำตามไปทำไมกัน</size>
<size\=24>我是说……那当然，你的小竹，怎么能让夫君丢脸呢？</size>	<size\=24>ข้าหมายความว่า...ก็แน่นอนอยู่แล้ว เสี่ยวจู๋ของท่านจะยอมให้ท่านสามีเสียหน้าได้อย่างไรกันเล่า</size>
